addr:postcode,addr:street,addr:city
80135,Corso Vittorio Emanuele,Napoli
80131,Viale Colli Aminei,Napoli
80142,Piazza Garibaldi Giuseppe,Napoli
80121,Corso Vittorio Emanuele,Napoli
80121,Vía Chiaia,Napoli
80135,Via San Domenico Soriano,
80134,Via Diodato Lioy,Napoli
80142,Corso Giuseppe Garibaldi,Napoli
80123,Via Francesco Caracciolo,Napoli
80142,Piazza Giuseppe Garibaldi,Napoli
80121,Corso Vittorio Emanuele,Napoli
80132,Via Chiaia,Napoli
80132,Salita Sant'Anna di Palazzo,
80144,Corso Secondigliano,Napoli
80100,Via Maurizio De Vito Piscicelli,Napoli
80125,Viale J. F. Kennedy,Napoli
80139,Corso Giuseppe Garibaldi,Napoli
80128,Via Marino e Cotronei,Napoli
80142,,Napoli
80142,Via Milano,Napoli
80133,Via Santa Brigida,Napoli
80132,Via San Carlo,Napoli
80132,Via Santa Brigida,Napoli
80132,Galleria Umberto I,Napoli
80123,Via Francesco Petrarca,Napoli
80142,Piazza Giuseppe Garibaldi,Napoli
80142,Vico Ferrovia,Napoli
80139,Via Pasquale Stanislao Mancini,
80135,Salita Pontecorvo,
80135,Vico Lungo Pontecorvo,Napoli
80121,Via Chiaia,Napoli
80134,Via San Giovanni Maggiore Pignatelli,Napoli
80133,Via Monteoliveto,Napoli
80134,Via Toledo,Napoli
80132,Via Toledo,Napoli
80133,Via G. Melisurgo,Napoli
80133,Via Guglielmo Melisurgo,Napoli
80138,Corso Umberto Primo,Napoli
80132,Via San Carlo,Napoli
80133,Via San Carlo,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80134,Via Toledo,Napoli
80133,Via dei Greci,Napoli
80133,Via dei Fiorentini,Napoli
80133,Via Toledo,Napoli
80132,Via Nardones,Napoli
80138,vico Luigi De Creccio,Napoli
80133,Via Alcide De Gasperi,
80131,Via San Giacomo dei Capri,Napoli
80131,Via San Giacomo dei Capri,
80139,Via Pasquale Stanislao Mancini,Napoli
80134,Piazza San Domenico Maggiore,Napoli
80134,Via Benedetto Croce,Napoli
80134,Piazzetta Nilo,Napoli
80124,Via Nuova Agnano,Napoli
80125,Via Nuova Agnano,Napoli
80124,Via Nuova Agnano,Napoli
80124,Via Bagnoli,Napoli
80125,Via Nuova Agnano,Napoli
80142,Piazza Garibaldi,
80142,Corso Arnaldo Lucci,Napoli
80139,Via Pietro Colletta,Napoli
80138,Via dei Tribunali,Napoli
80138,Via dei Tribunali,
80145,Corso Marianella,Napoli
80145,Via Don Pino Puglisi,Napoli
80100,Via Pedamentina San Martino,Napoli
80133,Via San Carlo,Napoli
80142,Piazza Giuseppe Garibaldi,Napoli
80126,Via Adriano,Napoli
80142,Via Milano,Napoli
80133,Via Monteoliveto,Napoli
80142,Via Giulio Cesare Capaccio,Napoli
80125,Via Nuova di Nisida,Napoli
80142,Via Bologna,Napoli
80131,Via Bosco di Capodimonte,Napoli
80121,Via Partenope,Napoli
80132,Vico del Grottone,Napoli
80132,Via Toledo,Napoli
80147,Via Angelo Camillo De Meis,Ponticelli
80147,Via Angelo Camillo De Meis,Ponticelli
80147,Via Angelo Camillo De Meis,Ponticelli
80138,Vico Santa Luciella,Napoli
80134,Calata Trinità Maggiore,Napoli
80132,Via Chiaia,Napoli
80121,Via Chiaia,Napoli
80132,Piazza Trieste e Trento,Napoli
80122,Via Francesco Caracciolo,Napoli
80121,Via Chiatamone,Napoli
80132,Via San Carlo,Napoli
80121,Via dei Mille,Napoli
80132,Piazza Trieste e Trento,Napoli
80127,Via Domenico Cimarosa,Napoli
80133,Piazza Municipio,Napoli
80133,Via dei Fiorentini,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Piazzetta Concordia,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80128,Via Gino Doria,Napoli
80127,Viale Albino Albini,Napoli
80129,Piazza Francesco Muzii,Napoli
80125,Piazza Gabriele D'Annunzio,
80137,Via Foria,Napoli
80131,Strada Comunale Guantai ad Orsolone,Santa Croce
80132,Via Carlo De Cesare,Napoli
80121,Via San Pasquale a Chiaia,
80132,Via Carlo De Cesare,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Via Nardones,Napoli
80125,Viale Giochi del Mediterraneo,Napoli
80131,,Napoli
80131,Via Bernardo Cavallino,Napoli
80132,Vico del Grottone,Napoli
80132,Via Chiaia,Napoli
80132,Via Chiaia,Napoli
80132,Via Chiaia,Napoli
80132,Via Nardones,Napoli
80132,Via Chiaia,Napoli
80129,Via Mario Fiore,Napoli
80132,Galleria Umberto I,Napoli
80132,Via Nardones,Napoli
80132,Via Nardones,Napoli
80121,Piazzetta Giulio Rodinò,
80135,Via Vincenzo Bellini,Napoli
80135,Via Francesco Saverio Correra,
40121,Via Santa Maria di Costantinopoli,
80121,Via Giuseppe Martucci,Napoli
80121,Villa comunale,Napoli NA
80132,Piazza Trieste e Trento,Napoli
80134,Via Montecalvario,Napoli
80123,Piazza Jacopo Sannazaro,Napoli
80132,Via Speranzella,Napoli
80128,Via Giacinto Gigante,Napoli
80134,Piazzetta di Porto,Napoli
80138,Via Porta San Gennaro,Napoli
80122,Via Ferdinando Galliani,Napoli
80137,Via Arena della Sanità,Napoli
80137,Via Michele Tenore,Napoli
80139,Via Foria,Napoli
80134,Via Toledo,Napoli
80129,Via Michele Kerbaker,Napoli
80127,Via Domenico Cimarosa,Napoli
80132,Via Sergente Maggiore,Napoli
80128,Via Saverio Altamura,Napoli
80132,Via Giovanni Nicotera,Napoli
80126,Via Michelangelo da Caravaggio,Napoli
80139,Via Giudecca Vecchia,Napoli
80132,Via Toledo,Napoli
80132,Galleria Umberto I,Napoli
80132,Borgo Marinari,Napoli
80132,Via Toledo,Napoli
80137,Via Arena della Sanità,Napoli
80129,Via Gianlorenzo Bernini,Napoli
80136,Via Materdei,Napoli
80138,Via Giovanni Paladino,Napoli
80134,Via Mezzocannone,Napoli
80121,Via Santa Teresa a Chiaia,Napoli
80135,Corso Vittorio Emanuele,Napoli
80134,Via Pignasecca,Napoli
80137,Via Foria,Napoli
80134,Via Pignasecca,Napoli
80138,Corso Umberto Primo,Napoli
80100,Corso Umberto Primo,Napoli
80138,Via Duomo,Napoli
80122,Via Ferdinando Palasciano,Napoli
80134,Via Montecalvario,
80139,Via Domenico Cirillo,Napoli
80132,Vico Maddalenella degli Spagnoli,Napoli
80133,Via Incoronata,Napoli
80125,Piazzale Vincenzo Tecchio,Napoli
80132,Piazza Trieste e Trento,Napoli
80139,Via Pietro Colletta,
80132,Via Speranzella,Napoli
80121,Via Domenico Morelli,Napoli
80138,Via San Biagio dei Librai,Napoli
80134,Via Forno Vecchio,Napoli
80134,Via Forno Vecchio,Napoli
80134,Via Forno Vecchio,Napoli
80134,Via Pasquale Scura,Napoli
80134,Via Emanuele de Deo,Napoli
80137,Via Misericordiella,Napoli
80127,Via Luca Giordano,Napoli
80127,Via Luca Giordano,Napoli
80137,Via Foria,Napoli
80138,Via Padre Luigi Tosti,Napoli
80132,Galleria Umberto I,Napoli
80134,Piazza Carità,Napoli
80137,Via Foria,
80138,Via San Biagio dei Librai,
80141,Via Eleonora Pimentel Fonseca,Napoli
80134,Calata Trinità Maggiore,
80139,Via Pietro Colletta,Napoli
80100,Vico II Alabardieri,
80134,Via Santa Chiara,Napoli
80132,Vico Lungo Gelso,Napoli
80139,Via Carbonara,Napoli
80132,Via Toledo,Napoli
80134,Vico Giardinetto,
80147,Via Angelo Camillo De Meis,
80121,Vico II Alabardieri,
80133,Via Cristoforo Colombo,
80142,Via Silvio Spaventa,
80138,Via Duomo,
80134,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Carlo De Cesare,Napoli
80132,Vico Tre Re a Toledo,Napoli
80138,Via dei Tribunali,Napoli
80100,Via Benedetto Croce,Napoli
80134,Piazza San Domenico Maggiore,Napoli
80143,Via Benedetto Croce,Napoli
80133,Via Toledo,Napoli
80134,Via Santa Chiara,
80138,Corso Umberto Primo,
80139,Via Nuova del Teatro San Ferdinando,
80134,Via dei Tribunali,Napoli
80131,Via Sant'Antonio a Capodimonte,Napoli
80121,Via Vannella Gaetani,
80132,Piazza Trieste e Trento,Napoli
80136,Via Leone Marsicano,
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Via San Carlo,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Piazza Trieste e Trento,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Galleria Umberto I,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Vico Berio,Napoli
80136,Largo Gaspare Colosimo,
80133,Via dei Greci,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Piazzetta Duca d'Aosta,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80138,Via San Pietro a Maiella,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Toledo,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Giuseppe Verdi,Napoli
80132,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Vittorio Emanuele III,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80133,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80133,Via San Carlo,Napoli
80132,Via San Carlo,Napoli
80133,Via Vittorio Emanuele III,Napoli
80125,Via Giulio Cesare,Napoli
80133,Via Giuseppe Verdi,Napoli
80132,Via Giuseppe Verdi,Napoli
80132,Via Giuseppe Verdi,Napoli
80132,Via Giuseppe Verdi,Napoli
80132,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80132,Via Giuseppe Verdi,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80132,Via Santa Brigida,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Santa Brigida,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Via Giuseppe Verdi,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Via Vittorio Emanuele III,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80133,Piazza Municipio,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Paolo Emilio Imbriani,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80132,Vico Corrieri a Santa Brigida,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80133,Via Paolo Emilio Imbriani,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Vico Tre Re a Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80132,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80133,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Vico San Sepolcro,Napoli
80133,Via Toledo,Napoli
80133,Via Toledo,Napoli
80134,Via Toledo,Napoli
80134,Via Toledo,Napoli
80133,Via Toledo,Napoli
